axe,lc,ma,serk,ram,food,time_in_seconds,time_in_days
4814.0,1664.0,1442.0,111.0,250.0,20596.0,1934400.0,22.39
4814.0,1664.0,1442.0,111.0,250.0,20596.0,1934400.0,22.39
4985.0,1725.0,1491.0,1.0,250.0,20596.0,1861800.0,21.55
4979.0,1720.0,1493.0,1.0,250.0,20580.0,1860360.0,21.53
4807.0,1663.0,1441.0,111.0,250.0,20580.0,1932960.0,22.37
4807.0,1663.0,1441.0,111.0,250.0,20580.0,1932960.0,22.37
